split,clients,method_name,method,base_algo,mu,server_distill,local_epochs,rounds,kd_alpha,kd_temperature,server_distill_steps,server_distill_lr,f1_macro,f1_micro,pr_auc_macro,pr_auc_micro,auc_macro,auc_micro,best_f1_micro,best_thr,time_sec,size_alpha,labels_per_client,bias_strength
iid,2,Baseline_FedAvg,baseline,FedAvg,0.0,False,3,100,0.7,2.0,,,0.6203462468099906,0.6290980264230958,0.5942011345065595,0.6473170716669556,0.902208995896631,0.9190545401823444,0.6290980264230958,per-label,209.4990017414093,,,
iid,3,Baseline_FedAvg,baseline,FedAvg,0.0,False,3,100,0.7,2.0,,,0.6202559132757297,0.6366535819430814,0.5969958198399364,0.6479607485063248,0.9026885345214026,0.9192257157925604,0.6366535819430814,per-label,212.02869415283203,,,
iid,4,Baseline_FedAvg,baseline,FedAvg,0.0,False,3,100,0.7,2.0,,,0.6235789383482035,0.6356608375707967,0.5998388853880305,0.6517792436327496,0.902924471752616,0.920361922557546,0.6356608375707967,per-label,212.5384829044342,,,
iid,8,Baseline_FedAvg,baseline,FedAvg,0.0,False,3,100,0.7,2.0,,,0.6189112933465952,0.6240128928283641,0.5966640774738662,0.6545704746671193,0.9004138369611034,0.9192352362623876,0.6240128928283641,per-label,217.22455596923828,,,
iid,10,Baseline_FedAvg,baseline,FedAvg,0.0,False,3,100,0.7,2.0,,,0.6108758320083193,0.6081581226868257,0.5818052447970019,0.6382977616960275,0.8948137146924178,0.9153491992059324,0.6081581226868257,per-label,220.7583487033844,,,
iid,12,Baseline_FedAvg,baseline,FedAvg,0.0,False,3,100,0.7,2.0,,,0.6000692125613569,0.5950234403173459,0.5694227220062811,0.6218616283918934,0.8891000908820504,0.9106871402113096,0.5950234403173459,per-label,214.40747690200809,,,
iid,15,Baseline_FedAvg,baseline,FedAvg,0.0,False,3,100,0.7,2.0,,,0.6071736560824574,0.5996291766933606,0.5773903981996914,0.6353091722161281,0.8929059510913236,0.9133870992214032,0.5996291766933606,per-label,219.46358346939087,,,
iid,20,Baseline_FedAvg,baseline,FedAvg,0.0,False,3,100,0.7,2.0,,,0.5783697902588819,0.5685267426144043,0.5427039862144059,0.609416361655923,0.8732642992100825,0.9003927590804116,0.5685267426144043,per-label,229.79745864868164,,,
iid,2,Opt3_FedAvg_Tuned,option3,FedAvg,0.0,False,3,100,0.7,2.0,,,0.6271191730892447,0.6294651949004114,0.60256751596157,0.6541676945080208,0.904574255763611,0.922199679778784,0.6294651949004114,per-label,510.2957921028137,,,
iid,3,Opt3_FedAvg_Tuned,option3,FedAvg,0.0,False,3,100,0.7,2.0,,,0.6236254283698094,0.6274876127040858,0.6007374677155441,0.6529269706351186,0.9025581076654804,0.9204979692924544,0.6274876127040858,per-label,511.6160967350006,,,
iid,4,Opt3_FedAvg_Tuned,option3,FedAvg,0.0,False,3,100,0.7,2.0,,,0.6202701050314704,0.6256643271532313,0.5909851765318859,0.6518277258004315,0.9010602143557026,0.9201966435328588,0.6256643271532313,per-label,510.9087138175965,,,
iid,8,Opt3_FedAvg_Tuned,option3,FedAvg,0.0,False,3,100,0.7,2.0,,,0.6092124390403365,0.6037187915944017,0.5788993880605675,0.6358568790715016,0.894636393486228,0.9157230164711376,0.6037187915944017,per-label,524.8638834953308,,,
iid,10,Opt3_FedAvg_Tuned,option3,FedAvg,0.0,False,3,100,0.7,2.0,,,0.5970709454517499,0.6013934726806015,0.563865921265383,0.6262399890976549,0.8889965200607329,0.9124755688857936,0.6013934726806015,per-label,545.2529194355011,,,
iid,12,Opt3_FedAvg_Tuned,option3,FedAvg,0.0,False,3,100,0.7,2.0,,,0.5785226327111279,0.586810337843312,0.5524578371329959,0.614514114465528,0.8817273834476274,0.9060676180426852,0.586810337843312,per-label,520.9010276794434,,,
iid,15,Opt3_FedAvg_Tuned,option3,FedAvg,0.0,False,3,100,0.7,2.0,,,0.5872167340016764,0.580306480873895,0.5584681279611666,0.6201144399899245,0.8789390227076106,0.9070171002274344,0.580306480873895,per-label,535.5497126579285,,,
iid,20,Opt3_FedAvg_Tuned,option3,FedAvg,0.0,False,3,100,0.7,2.0,,,0.5768760722822023,0.5706544877501257,0.5364494506943084,0.6078482243838295,0.8743686314732599,0.902591939241824,0.5706544877501257,per-label,566.0387873649597,,,
iid,2,Opt3_FedAvg_Tuned_SD,option3,FedAvg,0.0,True,3,100,0.7,2.0,5.0,0.002,0.6238921543329644,0.6317986494782076,0.6028707434014215,0.6522389023077074,0.9026299783017658,0.9213164043081014,0.6317986494782076,per-label,806.8488490581512,,,
iid,3,Opt3_FedAvg_Tuned_SD,option3,FedAvg,0.0,True,3,100,0.7,2.0,5.0,0.002,0.6213641852135434,0.6290741041024809,0.5978811621053572,0.6549182671568243,0.9028702645092834,0.922099099871991,0.6290741041024809,per-label,960.6061022281648,,,
iid,4,Opt3_FedAvg_Tuned_SD,option3,FedAvg,0.0,True,3,100,0.7,2.0,5.0,0.002,0.6255012501159666,0.6336392430764234,0.6014752069831169,0.6520459397940497,0.9025664780723152,0.9211958895827568,0.6336392430764234,per-label,1111.727567434311,,,
iid,8,Opt3_FedAvg_Tuned_SD,option3,FedAvg,0.0,True,3,100,0.7,2.0,5.0,0.002,0.5944500165378869,0.5893560069280429,0.5639849253824532,0.6242607919724275,0.8885477239537986,0.9112497958322178,0.5893560069280429,per-label,1722.8367955684662,,,
iid,10,Opt3_FedAvg_Tuned_SD,option3,FedAvg,0.0,True,3,100,0.7,2.0,5.0,0.002,0.6086083819342404,0.6005313032790136,0.5733192118126863,0.6353132402818618,0.8935392792526302,0.9151302051577952,0.6005313032790136,per-label,2017.188579082489,,,
iid,12,Opt3_FedAvg_Tuned_SD,option3,FedAvg,0.0,True,3,100,0.7,2.0,5.0,0.002,0.5882422323367748,0.5751025991792066,0.5563033058471395,0.6209123264893825,0.877072154053791,0.9055876603534724,0.5751025991792066,per-label,2313.039687871933,,,
iid,15,Opt3_FedAvg_Tuned_SD,option3,FedAvg,0.0,True,3,100,0.7,2.0,5.0,0.002,0.5887638005640712,0.5844140761101003,0.5515046718767885,0.6158844198155355,0.8828600390075061,0.9074744559092012,0.5844140761101003,per-label,2757.496351957321,,,
iid,20,Opt3_FedAvg_Tuned_SD,option3,FedAvg,0.0,True,3,100,0.7,2.0,5.0,0.002,0.559240844836763,0.5559130198844916,0.523727196267849,0.592201624971547,0.8639224886332155,0.8947137184232552,0.5559130198844916,per-label,3549.1882784366608,,,
noniid,2,Baseline_FedAvg,baseline,FedAvg,0.0,False,3,100,0.7,2.0,,,0.6145260613275649,0.6387687611294836,0.5923054727082873,0.6457134884227003,0.9020988161707968,0.9188989543728796,0.6387687611294836,per-label,227.4774374961853,0.5,10.0,0.85
noniid,3,Baseline_FedAvg,baseline,FedAvg,0.0,False,3,100,0.7,2.0,,,0.611009834635191,0.6166870166870166,0.5862841795882341,0.634924876190688,0.8988424019484376,0.9153071177996112,0.6166870166870166,per-label,212.3229551315308,0.5,10.0,0.85
noniid,4,Baseline_FedAvg,baseline,FedAvg,0.0,False,3,100,0.7,2.0,,,0.6182363324563929,0.6256443560498437,0.5851445887687262,0.6381664275969074,0.8993825369221483,0.9165178827332926,0.6256443560498437,per-label,212.5099349021912,0.5,10.0,0.85
noniid,8,Baseline_FedAvg,baseline,FedAvg,0.0,False,3,100,0.7,2.0,,,0.6141413163958171,0.6194314126468582,0.5871053355227557,0.6439851426409429,0.8974707632227823,0.9172997114293836,0.6194314126468582,per-label,215.66419434547424,0.5,10.0,0.85
noniid,10,Baseline_FedAvg,baseline,FedAvg,0.0,False,3,100,0.7,2.0,,,0.6060364734258957,0.6024191324218904,0.570037227360483,0.6233867756280521,0.8927997203478532,0.9113946224303344,0.6024191324218904,per-label,217.6146879196167,0.5,10.0,0.85
noniid,12,Baseline_FedAvg,baseline,FedAvg,0.0,False,3,100,0.7,2.0,,,0.5936780125563463,0.5861865174737008,0.5617175712941648,0.6036890280408965,0.8873210483047339,0.9062495384164532,0.5861865174737008,per-label,219.9683878421784,0.5,10.0,0.85
noniid,15,Baseline_FedAvg,baseline,FedAvg,0.0,False,3,100,0.7,2.0,,,0.5822577910436457,0.5776646920844433,0.5467924162595871,0.5926910683639756,0.8806645942332224,0.9012908184160576,0.5776646920844433,per-label,218.7658762931824,0.5,10.0,0.85
noniid,20,Baseline_FedAvg,baseline,FedAvg,0.0,False,3,100,0.7,2.0,,,0.5844792703870068,0.5840144608613643,0.5513314738698101,0.5978738998504485,0.8838485256181579,0.9026160130400334,0.5840144608613643,per-label,221.61466336250305,0.5,10.0,0.85
noniid,2,Opt3_FedAvg_Tuned,option3,FedAvg,0.0,False,3,100,0.7,2.0,,,0.6229154821636572,0.6516863514262569,0.6008809824725109,0.6524908631605604,0.904701588389117,0.920872130163954,0.6516863514262569,per-label,512.0081036090851,0.5,10.0,0.85
noniid,3,Opt3_FedAvg_Tuned,option3,FedAvg,0.0,False,3,100,0.7,2.0,,,0.6284898711741814,0.6393271121898146,0.6035772317929715,0.6563712460977094,0.9040810195191774,0.922253799968705,0.6393271121898146,per-label,514.9002013206482,0.5,10.0,0.85
noniid,4,Opt3_FedAvg_Tuned,option3,FedAvg,0.0,False,3,100,0.7,2.0,,,0.6178084123974612,0.632652208432577,0.5981283048415926,0.6544698198312865,0.9015546874918594,0.9200508734308048,0.632652208432577,per-label,513.5996949672699,0.5,10.0,0.85
noniid,8,Opt3_FedAvg_Tuned,option3,FedAvg,0.0,False,3,100,0.7,2.0,,,0.6144919982368984,0.6165998199230581,0.5902924489537491,0.6414057661818793,0.8960115939315498,0.9161520513306444,0.6165998199230581,per-label,527.5467004776001,0.5,10.0,0.85
noniid,10,Opt3_FedAvg_Tuned,option3,FedAvg,0.0,False,3,100,0.7,2.0,,,0.5903307707203332,0.5818975598347237,0.5526740788443799,0.6107064598228111,0.8824712220746271,0.9057777588083092,0.5818975598347237,per-label,529.4230690002441,0.5,10.0,0.85
noniid,12,Opt3_FedAvg_Tuned,option3,FedAvg,0.0,False,3,100,0.7,2.0,,,0.6029777107517688,0.6045112781954888,0.5738049857318088,0.6276141335275934,0.8894159999013301,0.9132819242871104,0.6045112781954888,per-label,533.6743814945221,0.5,10.0,0.85
noniid,15,Opt3_FedAvg_Tuned,option3,FedAvg,0.0,False,3,100,0.7,2.0,,,0.6014433227962963,0.5971869584491999,0.5720122703036885,0.6314908500338412,0.8892409019220966,0.9128001185362564,0.5971869584491999,per-label,538.503232717514,0.5,10.0,0.85
noniid,20,Opt3_FedAvg_Tuned,option3,FedAvg,0.0,False,3,100,0.7,2.0,,,0.5913636932671898,0.5922659978966104,0.5646548041537556,0.6192263528791853,0.8854312357510481,0.9083894945467365,0.5922659978966104,per-label,550.3260293006897,0.5,10.0,0.85
noniid,2,Opt3_FedAvg_Tuned_SD,option3,FedAvg,0.0,True,3,100,0.7,2.0,5.0,0.002,0.6283221708283706,0.635659550055321,0.605890675071554,0.6667774449562791,0.9047390383955524,0.9243328573797778,0.635659550055321,per-label,804.4868705272675,0.5,10.0,0.85
noniid,3,Opt3_FedAvg_Tuned_SD,option3,FedAvg,0.0,True,3,100,0.7,2.0,5.0,0.002,0.6067784418712048,0.6182986082516676,0.5858564990304302,0.6373034956574675,0.8970593010754974,0.9153011942029848,0.6182986082516676,per-label,955.9800515174866,0.5,10.0,0.85
noniid,4,Opt3_FedAvg_Tuned_SD,option3,FedAvg,0.0,True,3,100,0.7,2.0,5.0,0.002,0.6172084860708525,0.6289250706097358,0.5940730430425001,0.6490100099744429,0.9009740972638832,0.9182928228191908,0.6289250706097358,per-label,1100.6173071861267,0.5,10.0,0.85
noniid,8,Opt3_FedAvg_Tuned_SD,option3,FedAvg,0.0,True,3,100,0.7,2.0,5.0,0.002,0.6041084213256829,0.6082997582594681,0.5748861643274219,0.6381995328473435,0.8928786585884044,0.913652872094268,0.6082997582594681,per-label,1703.6046905517578,0.5,10.0,0.85
noniid,10,Opt3_FedAvg_Tuned_SD,option3,FedAvg,0.0,True,3,100,0.7,2.0,5.0,0.002,0.5968037898544213,0.6065606924725965,0.5655879879276561,0.6299194863015514,0.8898344423053236,0.9121013571329232,0.6065606924725965,per-label,1997.803265094757,0.5,10.0,0.85
noniid,12,Opt3_FedAvg_Tuned_SD,option3,FedAvg,0.0,True,3,100,0.7,2.0,5.0,0.002,0.5996380416104623,0.6140052301689427,0.5768395354309427,0.6267102051978727,0.8915530957337003,0.9132316823883424,0.6140052301689427,per-label,2303.297029733658,0.5,10.0,0.85
noniid,15,Opt3_FedAvg_Tuned_SD,option3,FedAvg,0.0,True,3,100,0.7,2.0,5.0,0.002,0.6057822532054405,0.6145824780359636,0.5822165055348475,0.6391735931803513,0.8951441790804673,0.9171041824875013,0.6145824780359636,per-label,2744.393325805664,0.5,10.0,0.85
noniid,20,Opt3_FedAvg_Tuned_SD,option3,FedAvg,0.0,True,3,100,0.7,2.0,5.0,0.002,0.6068837853057929,0.595689451742311,0.5757314034923658,0.6303965173097092,0.8939156957682164,0.914142484680634,0.595689451742311,per-label,3484.600665807724,0.5,10.0,0.85
