split,clients,method_name,method,base_algo,mu,server_distill,local_epochs,rounds,kd_alpha,kd_temperature,server_distill_steps,server_distill_lr,f1_macro,f1_micro,pr_auc_macro,pr_auc_micro,auc_macro,auc_micro,best_f1_micro,best_thr,time_sec,size_alpha,labels_per_client,bias_strength
iid,2,Baseline_FedAvg,baseline,FedAvg,0.0,False,1,10,0.5,2.0,10,0.002,0.49779971490115205,0.47424783273839877,0.4433869220294165,0.49894708544315597,0.8249774059493972,0.8486930945905375,0.47424783273839877,per-label,40.96041226387024,,,
iid,3,Baseline_FedAvg,baseline,FedAvg,0.0,False,1,10,0.5,2.0,10,0.002,0.47085192606311005,0.44700923974712264,0.40665356332554653,0.4687436366007308,0.8069001349236767,0.8320057223677149,0.44700923974712264,per-label,35.902687788009644,,,
iid,5,Baseline_FedAvg,baseline,FedAvg,0.0,False,1,10,0.5,2.0,10,0.002,0.40801784754224707,0.38967204947100026,0.3434855537299364,0.37376087908345706,0.7626231551407006,0.784955532841581,0.38967204947100026,per-label,36.214020013809204,,,
iid,8,Baseline_FedAvg,baseline,FedAvg,0.0,False,1,10,0.5,2.0,10,0.002,0.3654561381326371,0.3547363410377109,0.2983225950453937,0.3183070277359346,0.7321680130422827,0.7486855925407186,0.3547363410377109,per-label,37.13929033279419,,,
iid,10,Baseline_FedAvg,baseline,FedAvg,0.0,False,1,10,0.5,2.0,10,0.002,0.3660131372662432,0.3519597196169415,0.2948709106123021,0.32489004438804536,0.729090628897377,0.7485643799239795,0.3519597196169415,per-label,37.53741908073425,,,
iid,2,Baseline_FedProx_mu0.01,baseline,FedProx,0.01,False,1,10,0.5,2.0,10,0.002,0.45641358368372065,0.4165705668411248,0.3866394521356086,0.42882967141642225,0.7901970788069655,0.8154319186208732,0.4165705668411248,per-label,39.069477558135986,,,
iid,3,Baseline_FedProx_mu0.01,baseline,FedProx,0.01,False,1,10,0.5,2.0,10,0.002,0.4132897140995129,0.39314082528030286,0.35225900263493104,0.3851852802207374,0.7682720620081098,0.7888515011878207,0.39314082528030286,per-label,39.17348599433899,,,
iid,5,Baseline_FedProx_mu0.01,baseline,FedProx,0.01,False,1,10,0.5,2.0,10,0.002,0.39173287864386686,0.3771574449192519,0.3253866206160307,0.34661117923903906,0.753668896403264,0.7675552485408539,0.3771574449192519,per-label,39.61781120300293,,,
iid,8,Baseline_FedProx_mu0.01,baseline,FedProx,0.01,False,1,10,0.5,2.0,10,0.002,0.35990252597015315,0.35961996492789283,0.29213691232628625,0.3158424654845478,0.7245142696647459,0.7425618901615656,0.35961996492789283,per-label,39.55140471458435,,,
iid,10,Baseline_FedProx_mu0.01,baseline,FedProx,0.01,False,1,10,0.5,2.0,10,0.002,0.3716588466409478,0.3694630781347601,0.3124090040829387,0.330846564391402,0.7425214815217618,0.7536451348091932,0.3694630781347601,per-label,40.19684076309204,,,
iid,2,Opt1_FedAvg,option1,FedAvg,0.0,False,1,10,0.5,2.0,10,0.002,0.49523264628000696,0.4644012405375663,0.44049472275874074,0.5075890656643918,0.8197721851962679,0.8475842814761654,0.4644012405375663,per-label,44.09774208068848,,,
iid,3,Opt1_FedAvg,option1,FedAvg,0.0,False,1,10,0.5,2.0,10,0.002,0.4627890262149922,0.4143395323805537,0.39681398283070585,0.44731730715942786,0.7934076138568206,0.8191572628858299,0.4143395323805537,per-label,43.9724178314209,,,
iid,5,Opt1_FedAvg,option1,FedAvg,0.0,False,1,10,0.5,2.0,10,0.002,0.3979057080519176,0.3776974416017798,0.3339912771517525,0.3671258534637879,0.752085055140828,0.7737071643260391,0.3776974416017798,per-label,43.7349488735199,,,
iid,8,Opt1_FedAvg,option1,FedAvg,0.0,False,1,10,0.5,2.0,10,0.002,0.37780111910903175,0.36477920132666436,0.3133965056631054,0.3467294048944207,0.7439301997814325,0.763312208313669,0.36477920132666436,per-label,43.92722487449646,,,
iid,10,Opt1_FedAvg,option1,FedAvg,0.0,False,1,10,0.5,2.0,10,0.002,0.37052703789639907,0.35847387049760565,0.29617512496723253,0.3190404936901821,0.7355093204168169,0.7471420257520267,0.35847387049760565,per-label,43.515095949172974,,,
iid,2,Opt1_FedAvg_SD,option1,FedAvg,0.0,True,1,10,0.5,2.0,10,0.002,0.4915455963697286,0.45861610113107115,0.4386930606007774,0.4918912564277239,0.8200686972749435,0.8470621381052295,0.45861610113107115,per-label,66.8911120891571,,,
iid,3,Opt1_FedAvg_SD,option1,FedAvg,0.0,True,1,10,0.5,2.0,10,0.002,0.45104120813577475,0.4315663662499596,0.39091728267376963,0.4420251821090121,0.7950183383157201,0.8195332077461331,0.4315663662499596,per-label,78.0767514705658,,,
iid,5,Opt1_FedAvg_SD,option1,FedAvg,0.0,True,1,10,0.5,2.0,10,0.002,0.409089819562791,0.3891547947519568,0.34485732191637797,0.3852179655458384,0.7638391194274046,0.7879884984884985,0.3891547947519568,per-label,101.13404107093811,,,
iid,8,Opt1_FedAvg_SD,option1,FedAvg,0.0,True,1,10,0.5,2.0,10,0.002,0.36400369703759455,0.3604485111334427,0.2991518862416497,0.3224873557818236,0.7322888053595168,0.7465632815673009,0.3604485111334427,per-label,135.98174023628235,,,
iid,10,Opt1_FedAvg_SD,option1,FedAvg,0.0,True,1,10,0.5,2.0,10,0.002,0.3634238154254106,0.3551998352935122,0.29098936168458533,0.3194780868378658,0.7297053703826302,0.7428948854914184,0.3551998352935122,per-label,157.3457589149475,,,
iid,2,Opt1_FedProx_mu0.01,option1,FedProx,0.01,False,1,10,0.5,2.0,10,0.002,0.3931922018415403,0.3765701441227027,0.3285592103523738,0.3390560276674757,0.7485049440000366,0.7642582839592341,0.3765701441227027,per-label,45.34403944015503,,,
iid,3,Opt1_FedProx_mu0.01,option1,FedProx,0.01,False,1,10,0.5,2.0,10,0.002,0.38610284124939265,0.3790519583893723,0.32319580386577285,0.3284825126250799,0.7491008091132084,0.7612340824713977,0.3790519583893723,per-label,45.5891170501709,,,
iid,5,Opt1_FedProx_mu0.01,option1,FedProx,0.01,False,1,10,0.5,2.0,10,0.002,0.3705283568012183,0.3411165514356716,0.29712815985108343,0.3165708488185345,0.7296635255021943,0.7499621477150242,0.3411165514356716,per-label,45.60182595252991,,,
iid,8,Opt1_FedProx_mu0.01,option1,FedProx,0.01,False,1,10,0.5,2.0,10,0.002,0.3507677765309319,0.3381849107034382,0.28123078427156994,0.2969773800056997,0.72097245122655,0.7336871344535487,0.3381849107034382,per-label,46.075347661972046,,,
iid,10,Opt1_FedProx_mu0.01,option1,FedProx,0.01,False,1,10,0.5,2.0,10,0.002,0.34476612731478,0.33307184249816535,0.26988592241048764,0.28816774923406807,0.7157566024828352,0.73198240940304,0.33307184249816535,per-label,46.53497004508972,,,
iid,2,Opt1_FedProx_mu0.01_SD,option1,FedProx,0.01,True,1,10,0.5,2.0,10,0.002,0.378978461681294,0.38024329473838486,0.31699900083549776,0.32675450128027683,0.7449567385277686,0.7576599174379278,0.38024329473838486,per-label,69.38951253890991,,,
