phase,split,clients,method_name,method,base_algo,server_distill,mu,local_epochs,rounds,kd_alpha,kd_temperature,teacher_steps_per_batch,server_distill_steps,server_distill_lr,f1_macro,f1_micro,pr_auc_macro,pr_auc_micro,auc_macro,auc_micro,best_f1_micro,best_thr,time_sec,size_alpha,labels_per_client,bias_strength
1,noniid,3,Opt3_FedAvg,option3,FedAvg,False,0.0,1,10,0.3,1.0,1,,,0.5062498374397485,0.48491242878244356,0.4513810604636665,0.5095902037736669,0.8316426520309976,0.8586717775449986,0.48491242878244356,per-label,88.65772271156311,0.5,10,0.85
1,noniid,3,Opt3_FedAvg,option3,FedAvg,False,0.0,1,10,0.3,2.0,1,,,0.49948468521208694,0.4761124955500178,0.44864028486199153,0.5069231198851507,0.8283735510904312,0.8568587097237406,0.4761124955500178,per-label,78.00285029411316,0.5,10,0.85
1,noniid,3,Opt3_FedAvg,option3,FedAvg,False,0.0,1,10,0.3,4.0,1,,,0.5063037866202981,0.46765813742044426,0.44492655152683996,0.5054342823976248,0.8255600231253601,0.854993757980217,0.46765813742044426,per-label,76.68905377388,0.5,10,0.85
1,noniid,3,Opt3_FedAvg,option3,FedAvg,False,0.0,1,10,0.5,1.0,1,,,0.5015100124835482,0.4788029925187033,0.4480258241132266,0.5114846533045251,0.8263779617746013,0.8574788286290819,0.4788029925187033,per-label,74.09441876411438,0.5,10,0.85
1,noniid,3,Opt3_FedAvg,option3,FedAvg,False,0.0,1,10,0.5,2.0,1,,,0.5051092396717286,0.46757780339206323,0.44673799488272137,0.5070189037765773,0.8262449273372421,0.8538568866165852,0.46757780339206323,per-label,73.68579721450806,0.5,10,0.85
1,noniid,3,Opt3_FedAvg,option3,FedAvg,False,0.0,1,10,0.5,4.0,1,,,0.5038743196310531,0.47455932824630964,0.4476149073937225,0.5129180774482648,0.8280454508037033,0.8559062625998528,0.47455932824630964,per-label,73.87852072715759,0.5,10,0.85
1,noniid,3,Opt3_FedAvg,option3,FedAvg,False,0.0,1,10,0.7,1.0,1,,,0.4928257519732968,0.451286590377442,0.43061552756963345,0.4926392539076131,0.8164078957154461,0.8464684662057387,0.451286590377442,per-label,73.41997933387756,0.5,10,0.85
1,noniid,3,Opt3_FedAvg,option3,FedAvg,False,0.0,1,10,0.7,2.0,1,,,0.5074485681125599,0.4917139119058002,0.45695274521848683,0.5330115200530781,0.8318941995725803,0.8628736936894315,0.4917139119058002,per-label,76.66919898986816,0.5,10,0.85
1,noniid,3,Opt3_FedAvg,option3,FedAvg,False,0.0,1,10,0.7,4.0,1,,,0.500185305172104,0.4832752613240418,0.44846664972227146,0.5052269266358769,0.8295108295493787,0.8538305225285241,0.4832752613240418,per-label,74.9903953075409,0.5,10,0.85
1,noniid,10,Opt3_FedAvg,option3,FedAvg,False,0.0,1,10,0.3,1.0,1,,,0.370795580280071,0.3592523067974513,0.30113349051373595,0.3408258121810793,0.7345910455133976,0.756951152505827,0.3592523067974513,per-label,84.96002769470215,0.5,10,0.85
1,noniid,10,Opt3_FedAvg,option3,FedAvg,False,0.0,1,10,0.3,2.0,1,,,0.36462412677175904,0.35679876507066244,0.29059138999661793,0.32535269337598893,0.7288351413978649,0.7516779636480396,0.35679876507066244,per-label,85.59441471099854,0.5,10,0.85
1,noniid,10,Opt3_FedAvg,option3,FedAvg,False,0.0,1,10,0.3,4.0,1,,,0.35748135540530634,0.3475481406408357,0.2855886980735524,0.310536877538212,0.7241308417054637,0.743426672452536,0.3475481406408357,per-label,85.2600691318512,0.5,10,0.85
1,noniid,10,Opt3_FedAvg,option3,FedAvg,False,0.0,1,10,0.5,1.0,1,,,0.3753122613667874,0.36106683668048034,0.3115645971569856,0.34106761698542926,0.7393278262213285,0.7586156787607341,0.36106683668048034,per-label,85.2394871711731,0.5,10,0.85
1,noniid,10,Opt3_FedAvg,option3,FedAvg,False,0.0,1,10,0.5,2.0,1,,,0.3611072844259149,0.3556049304343226,0.29567349156360434,0.3296008938401046,0.7302092362593491,0.7500491165410423,0.3556049304343226,per-label,85.60777235031128,0.5,10,0.85
1,noniid,10,Opt3_FedAvg,option3,FedAvg,False,0.0,1,10,0.5,4.0,1,,,0.3679627237914378,0.35145048349449814,0.2954283620312237,0.3288471676812648,0.7283660977123755,0.7506707110061371,0.35145048349449814,per-label,85.64906787872314,0.5,10,0.85
1,noniid,10,Opt3_FedAvg,option3,FedAvg,False,0.0,1,10,0.7,1.0,1,,,0.3795160634477394,0.36630193424115143,0.3146494558336549,0.3458772678694807,0.7451390643288829,0.7647585238422836,0.36630193424115143,per-label,84.99953603744507,0.5,10,0.85
1,noniid,10,Opt3_FedAvg,option3,FedAvg,False,0.0,1,10,0.7,2.0,1,,,0.3794500347905403,0.3671099967295324,0.31260209191569394,0.35723014320741564,0.7365583312391263,0.7601844651207268,0.3671099967295324,per-label,85.2761402130127,0.5,10,0.85
1,noniid,10,Opt3_FedAvg,option3,FedAvg,False,0.0,1,10,0.7,4.0,1,,,0.36995302428796334,0.35204172952517326,0.3003234974865119,0.3287018003329487,0.7372672845621924,0.7546522718687225,0.35204172952517326,per-label,85.5370922088623,0.5,10,0.85
