phase,split,clients,method_name,method,base_algo,server_distill,mu,local_epochs,rounds,kd_alpha,kd_temperature,teacher_steps_per_batch,server_distill_steps,server_distill_lr,f1_macro,f1_micro,pr_auc_macro,pr_auc_micro,auc_macro,auc_micro,best_f1_micro,best_thr,time_sec,size_alpha,labels_per_client,bias_strength
2,noniid,3,Opt3_FedAvg_SD,option3,FedAvg,True,0.0,1,10,0.7,2.0,1,5,0.001,0.5001446534537909,0.4842872008324661,0.4510435748955851,0.4966607388067072,0.8258619104711304,0.8507888969979277,0.4842872008324661,per-label,100.30306649208069,0.5,10,0.85
2,noniid,3,Opt3_FedAvg_SD,option3,FedAvg,True,0.0,1,10,0.7,2.0,1,5,0.002,0.5048122536368262,0.46926460059322905,0.45039247608155053,0.5045620134069535,0.8284086678228211,0.8531659665978425,0.46926460059322905,per-label,101.2116265296936,0.5,10,0.85
2,noniid,3,Opt3_FedAvg_SD,option3,FedAvg,True,0.0,1,10,0.7,2.0,1,5,0.005,0.4840600960485475,0.46218971180873036,0.42868240070234315,0.49175860443393593,0.81737611370975,0.8459756386705359,0.46218971180873036,per-label,101.73225736618042,0.5,10,0.85
2,noniid,3,Opt3_FedAvg_SD,option3,FedAvg,True,0.0,1,10,0.7,2.0,1,10,0.001,0.5030607017086971,0.4748143418797675,0.44210045049998115,0.5095222942603298,0.8249654590984287,0.8532763798006682,0.4748143418797675,per-label,104.80704140663147,0.5,10,0.85
2,noniid,3,Opt3_FedAvg_SD,option3,FedAvg,True,0.0,1,10,0.7,2.0,1,10,0.002,0.4960816125427269,0.4659735659702863,0.4352921530659863,0.499202949601096,0.8168294069970058,0.8478507604065711,0.4659735659702863,per-label,105.66798639297485,0.5,10,0.85
2,noniid,3,Opt3_FedAvg_SD,option3,FedAvg,True,0.0,1,10,0.7,2.0,1,10,0.005,0.4927478616618639,0.46387832699619774,0.4344956212847655,0.48778786534578367,0.8165195396518701,0.8460666560204413,0.46387832699619774,per-label,104.73810052871704,0.5,10,0.85
2,noniid,3,Opt3_FedAvg_SD,option3,FedAvg,True,0.0,1,10,0.7,2.0,1,20,0.001,0.5074935798446785,0.4651040984679848,0.4509181942579466,0.509162415491161,0.8293296175789194,0.8540238120619255,0.4651040984679848,per-label,110.16899728775024,0.5,10,0.85
2,noniid,3,Opt3_FedAvg_SD,option3,FedAvg,True,0.0,1,10,0.7,2.0,1,20,0.002,0.49817776213417303,0.4586318799601581,0.4337537353352261,0.4951392040516272,0.8189791080153861,0.8476431725798067,0.4586318799601581,per-label,110.69046378135681,0.5,10,0.85
2,noniid,3,Opt3_FedAvg_SD,option3,FedAvg,True,0.0,1,10,0.7,2.0,1,20,0.005,0.4876127014447722,0.4600429069455618,0.4276335081225924,0.4856225304516163,0.8168567385470732,0.8441951569123747,0.4600429069455618,per-label,110.43220210075378,0.5,10,0.85
2,noniid,10,Opt3_FedAvg_SD,option3,FedAvg,True,0.0,1,10,0.7,2.0,1,5,0.001,0.37963830982194535,0.3681652171628262,0.3101265452509926,0.34357444175367025,0.7410866455044346,0.7650929155830908,0.3681652171628262,per-label,182.4639699459076,0.5,10,0.85
2,noniid,10,Opt3_FedAvg_SD,option3,FedAvg,True,0.0,1,10,0.7,2.0,1,5,0.002,0.39505195276193705,0.36660174003376184,0.32074021989613954,0.3565434321921882,0.745486918741173,0.7726981433994599,0.36660174003376184,per-label,180.94907116889954,0.5,10,0.85
2,noniid,10,Opt3_FedAvg_SD,option3,FedAvg,True,0.0,1,10,0.7,2.0,1,5,0.005,0.3939223865226972,0.36704099283380465,0.32055308366779384,0.3513406271278124,0.7518075737053599,0.7672970971948043,0.36704099283380465,per-label,179.56784391403198,0.5,10,0.85
2,noniid,10,Opt3_FedAvg_SD,option3,FedAvg,True,0.0,1,10,0.7,2.0,1,10,0.001,0.37892524104812947,0.3644293277011274,0.3120106550469663,0.3459351202733697,0.7417785496715231,0.758587387462233,0.3644293277011274,per-label,188.60614490509033,0.5,10,0.85
2,noniid,10,Opt3_FedAvg_SD,option3,FedAvg,True,0.0,1,10,0.7,2.0,1,10,0.002,0.3936769295501052,0.36769461313983753,0.3235700563983479,0.3682555087997871,0.7492646446517047,0.7730212872164925,0.36769461313983753,per-label,188.52953362464905,0.5,10,0.85
2,noniid,10,Opt3_FedAvg_SD,option3,FedAvg,True,0.0,1,10,0.7,2.0,1,10,0.005,0.3837213897263628,0.3664378841754183,0.3168036239015455,0.35317706369205776,0.7461441163687855,0.7650905863470048,0.3664378841754183,per-label,188.39517760276794,0.5,10,0.85
2,noniid,10,Opt3_FedAvg_SD,option3,FedAvg,True,0.0,1,10,0.7,2.0,1,20,0.001,0.3823570590733377,0.36841268158201673,0.31128974269055204,0.33841740020569017,0.7427294507533295,0.7626774236383975,0.36841268158201673,per-label,205.47504115104675,0.5,10,0.85
2,noniid,10,Opt3_FedAvg_SD,option3,FedAvg,True,0.0,1,10,0.7,2.0,1,20,0.002,0.3866550812056295,0.37127653738548466,0.31544730328161985,0.34403004014064453,0.7457679184434479,0.7628909802896737,0.37127653738548466,per-label,204.6189000606537,0.5,10,0.85
2,noniid,10,Opt3_FedAvg_SD,option3,FedAvg,True,0.0,1,10,0.7,2.0,1,20,0.005,0.38687027708465954,0.3785892544677433,0.31765280906341803,0.3499679414919205,0.7480669088282893,0.771350612481863,0.3785892544677433,per-label,203.75836491584778,0.5,10,0.85
