checkpoint,fl_acc_macro,cl_acc_macro,fl_prec_macro,cl_prec_macro,fl_rec_macro,cl_rec_macro,fl_f1_macro,cl_f1_macro,fl_acc_micro,cl_acc_micro,fl_prec_micro,cl_prec_micro,fl_rec_micro,cl_rec_micro,fl_f1_micro,cl_f1_micro,fl_rec_at_8,cl_rec_at_8,fl_prec_at_8,cl_prec_at_8,fl_f1_at_8,cl_f1_at_8,fl_auc_macro,cl_auc_macro,fl_auc_micro,cl_auc_micro,fl_pr_auc_macro,cl_pr_auc_macro,fl_pr_auc_micro,cl_pr_auc_micro,fl_best_f1_micro,cl_best_f1_micro,fl_best_thr,cl_best_thr
1,0.14578556325152905,0.15105881105128804,0.16302146140251947,0.17271457607295979,0.6919078319175361,0.6978902328782879,0.2638717068098373,0.2769013322180775,0.14542351184126306,0.142716408960466,0.15323396506373507,0.15092972164971802,0.7404671374253123,0.7239543726235741,0.2539209477331148,0.24978447468046028,0.13348244749883717,0.23933780446612046,0.09764414135151891,0.1577805331680099,0.11278476471577173,0.1901843496873052,0.61275761789311,0.6166037622592391,0.5563090778094423,0.6034948699441713,0.1700800124109029,0.17558917503405305,0.12332030828156765,0.14823399360443343,0.2539209477331148,0.24978447468046028,per-label,per-label
2,0.1937771133965719,0.19853567156608165,0.22737668039217074,0.2384796642404501,0.6368759797047463,0.59732574410327,0.3351120633416105,0.340868918707315,0.1840855106888361,0.18781905159405402,0.20211898940505296,0.2104922279792746,0.6735469853340575,0.6355241716458446,0.31093279839518556,0.31624185744790123,0.3925878547021294,0.3749883220148998,0.25759454432734036,0.24984500929944203,0.31107729059229566,0.2998846447705321,0.709805406803633,0.707177524361768,0.7278677265445677,0.7095720425366805,0.24156051643700455,0.24451189857294295,0.26230468551711367,0.2786443826001982,0.31093279839518556,0.31624185744790123,per-label,per-label
3,0.21878777442792025,0.22043431644060474,0.25945780178351835,0.269319429754222,0.6186878223576483,0.612140116171805,0.36559627006315826,0.37406419336891283,0.21550087873462215,0.2053926271070303,0.2416062421185372,0.23077219185464623,0.6660510592069527,0.6512764801738186,0.3545877794164426,0.34078958587954405,0.4417422856587327,0.42769660723020514,0.28208307501549906,0.28130812151270923,0.3443041072418903,0.33938992020718706,0.7461667386943044,0.7394543193480996,0.7621200485105156,0.750260935802256,0.2746843955269369,0.2745163055210343,0.31036213689685777,0.324407060096882,0.3545877794164426,0.34078958587954405,per-label,per-label
4,0.24798167136548263,0.2437923356805504,0.29247498327435284,0.28982220064398456,0.6458576694814018,0.6203216990828824,0.4026231220333647,0.3950650001376029,0.23682223229119467,0.23572174316538416,0.2663156553861832,0.2679324894514768,0.6813688212927757,0.6622487778381314,0.3829527414824765,0.3815126576336953,0.4994201042800704,0.46921351827839175,0.3178859268443893,0.30633911965282085,0.38849247818560606,0.3706736308757269,0.7776134885096756,0.7652917198510026,0.8007180804688685,0.7818938822777985,0.3150643249272771,0.30767191837326896,0.35861911165309884,0.367271612520783,0.3829527414824765,0.3815126576336953,per-label,per-label
5,0.2745534156600475,0.26275555828876196,0.3272379162577307,0.31235354592720044,0.6386011720432228,0.637295144767361,0.43273153756239935,0.4192316594985935,0.25917022423011565,0.24554361940738992,0.29530106257378985,0.27797576621525305,0.6793047256925584,0.6778924497555676,0.4116524028966425,0.39427542413041416,0.5363885350465939,0.50825186911427,0.342529448233106,0.32710787352758836,0.41807966714365297,0.39803974176827983,0.7983835121020685,0.784905994536659,0.824666511493231,0.8059709559576963,0.3503136813513047,0.3329972403160399,0.4199846870617613,0.4105425816503752,0.4116524028966425,0.39427542413041416,per-label,per-label
6,0.29348673767586925,0.2763228789441861,0.34976614171665577,0.33661536046796586,0.649063285095601,0.6107467393907356,0.45457283268547033,0.4340193340335452,0.2752952372712722,0.26489221293444787,0.31386861313868614,0.30804256625396503,0.6913633894622487,0.6541010320478001,0.4317356941759099,0.4188376056484992,0.5727511348062203,0.534657704660718,0.3649256044637322,0.3433044017358958,0.44580727093471195,0.41812816770731415,0.8122483714033454,0.7984314859232559,0.8413494880968253,0.8218871256569164,0.37527908207940924,0.35204584687561996,0.4559342950443175,0.43644971590429466,0.4317356941759099,0.4188376056484992,per-label,per-label
7,0.30706202618343303,0.291074448960167,0.36826865063884723,0.3529924754313844,0.6593122059530137,0.6110787065438836,0.4725740361519328,0.44749016325615604,0.2814740339220143,0.2844964129320786,0.3201889607160617,0.33248040069686413,0.6995111352525801,0.6634437805540467,0.43929728807777596,0.442969571682443,0.5843849471037575,0.5511840858847763,0.37368257904525726,0.35477371357718535,0.4558644734922225,0.4316881539738843,0.8217346594892266,0.8085597771846446,0.8493340873804349,0.833278755772104,0.3954328326292139,0.37289438012455817,0.47706870499268705,0.45620460719332157,0.43929728807777596,0.442969571682443,per-label,per-label
8,0.3193223594135931,0.30041385623426076,0.3867191154594491,0.36332246672628266,0.6514214573202355,0.630597237577112,0.48532373432176584,0.4610234466130676,0.29481943743403843,0.2884275207150172,0.33792668174406987,0.33540843393060144,0.6979902227050516,0.6731124388919065,0.45538308880856193,0.4477202109979045,0.5971324385341975,0.5600773831227729,0.38166460012399256,0.3601983880967142,0.4656824742474655,0.4384315591464889,0.8293668732041138,0.8156572596441477,0.8570510029841426,0.8407736205463617,0.4113101876051079,0.3891357954574732,0.49155831411373296,0.46871873578794,0.45538308880856193,0.4477202109979045,per-label,per-label
9,0.32728312114656277,0.30783790524213756,0.39057846702218507,0.3749014989466774,0.6700371764683,0.6236528296160023,0.49349091697648473,0.46829376020415464,0.3009346655002532,0.29276409622515925,0.3430971128608924,0.3423583699338411,0.710048886474742,0.668984247691472,0.46264377986197125,0.4529273315681083,0.6022893286628197,0.5715150778346917,0.3855393676379417,0.3688778673279603,0.4701346453637439,0.4483641952906625,0.8338384427891645,0.8196861702416797,0.8602950408858434,0.8457683850585087,0.422218499067715,0.3967654956879418,0.4994914605134857,0.4771082743184868,0.46264377986197125,0.4529273315681083,per-label,per-label
10,0.33480621248332354,0.3136283248260943,0.4028902745429559,0.3762311281434455,0.6605381918901176,0.6438959642022597,0.5005027077549379,0.47494808605030503,0.31125448028673836,0.29532177408047855,0.35720945538309656,0.3413645940251742,0.7075502444323737,0.6864747419880499,0.4747430570741307,0.4559821041997402,0.6192234140717967,0.5783415192860556,0.3963112213267204,0.3705827650340979,0.4833024476975975,0.45171865214640855,0.8382878086424002,0.8249455201688436,0.8674207920771377,0.8500417497131553,0.4306962216755153,0.4045995683964723,0.5163604394145934,0.4853717097844252,0.4747430570741307,0.4559821041997402,per-label,per-label
