split,method,algo,mu,local_epochs,clients,auc_macro,auc_micro,f1_macro,f1_micro,pr_auc_macro,pr_auc_micro,time_sec,size_alpha,labels_per_client,bias_strength
iid,FedAvg_E1,FedAvg,,1,2,0.815556565647225,0.8431848758866615,0.4887718786129754,0.4545424953614791,0.42698614676040186,0.49171776881528534,36.56813073158264,,,
iid,FedAvg_E1,FedAvg,,1,3,0.7920095245586117,0.8124721316921539,0.452212694583813,0.4212813508815496,0.39074167382701913,0.44317118683865936,37.342355728149414,,,
iid,FedAvg_E1,FedAvg,,1,5,0.7463494708992697,0.7675311653201682,0.39333032595491757,0.3551991854397352,0.3280279917506785,0.364114849284484,39.77511978149414,,,
iid,FedAvg_E1,FedAvg,,1,8,0.7352314223953055,0.7439566967824622,0.3780205414335798,0.34473351355373133,0.30235180289392727,0.32597710993416207,41.588520526885986,,,
iid,FedAvg_E1,FedAvg,,1,10,0.7202312247581837,0.7325589493565291,0.36397780334068086,0.3333728455939878,0.29114177956428294,0.31074001486707425,43.046266078948975,,,
iid,FedProx_mu0.01_E1,FedProx,0.01,1,2,0.7831164128408084,0.8046727556407305,0.4487141600536444,0.4107668930443142,0.3854511202387195,0.429537323393903,46.81665301322937,,,
iid,FedProx_mu0.01_E1,FedProx,0.01,1,3,0.7689036523810848,0.7885241273071948,0.420483934855455,0.39091472693456575,0.3540167648829211,0.3800087507441622,47.682854652404785,,,
iid,FedProx_mu0.01_E1,FedProx,0.01,1,5,0.7440503048311006,0.758798053297849,0.3835756839217738,0.36521739130434777,0.31707828252181947,0.34064847864885983,48.69948673248291,,,
iid,FedProx_mu0.01_E1,FedProx,0.01,1,8,0.7207420003628602,0.7358435472523814,0.3576678177590807,0.3382833018335338,0.2861400434133771,0.31614978956505374,49.70126938819885,,,
iid,FedProx_mu0.01_E1,FedProx,0.01,1,10,0.7136500361485055,0.7248724514276729,0.35032137935126173,0.337984571110735,0.28014078731157716,0.2985658935271196,49.29143810272217,,,
iid,FedProx_mu0.1_E1,FedProx,0.1,1,2,0.6786937887163569,0.6375615644014412,0.30731473904479145,0.2928545432488172,0.2326496833573518,0.20279861906318764,49.631075859069824,,,
iid,FedProx_mu0.1_E1,FedProx,0.1,1,3,0.6711600863115674,0.6550790052570393,0.3069360392071539,0.28973638027664034,0.2331472160470068,0.2149488755816193,49.3379340171814,,,
iid,FedProx_mu0.1_E1,FedProx,0.1,1,5,0.6789824693568512,0.675882612536674,0.31226577095542496,0.28941193458719905,0.2418296789808853,0.20890219068281676,48.78297281265259,,,
iid,FedProx_mu0.1_E1,FedProx,0.1,1,8,0.6528890952867821,0.6286835365815655,0.31206235698556833,0.28365662999420954,0.21927190700178026,0.18545030463506296,50.27973413467407,,,
iid,FedProx_mu0.1_E1,FedProx,0.1,1,10,0.6775532612319901,0.656814804377317,0.3153725466082985,0.29870228141197835,0.23747858956932424,0.22399676647440853,51.36967945098877,,,
noniid,FedAvg_E1,FedAvg,,1,2,0.8329643758052522,0.8562273755592085,0.5117063962221796,0.4816654337947797,0.46005847317164844,0.5128352915438459,49.11694645881653,0.5,10.0,0.85
noniid,FedAvg_E1,FedAvg,,1,3,0.5460261577894056,0.5494002957685088,0.24113357833879756,0.22987773003710174,0.15659243912462129,0.14508926594067784,49.24878716468811,0.5,10.0,0.85
noniid,FedAvg_E1,FedAvg,,1,5,0.5383261905080546,0.5498046500223467,0.23310377055843598,0.23313798067036803,0.15207418479493323,0.1476952514269834,49.12238788604736,0.5,10.0,0.85
noniid,FedAvg_E1,FedAvg,,1,8,0.6228036088675764,0.6014341528708624,0.22688542196747094,0.2883325151366388,0.20189271414548027,0.20469726430901683,49.09864258766174,0.5,10.0,0.85
noniid,FedAvg_E1,FedAvg,,1,10,0.668382602470473,0.6509156320650785,0.28694157918911783,0.3198061097959644,0.25457347186010654,0.28602106989010456,48.94338822364807,0.5,10.0,0.85
noniid,FedProx_mu0.01_E1,FedProx,0.01,1,2,0.7982805469041808,0.8223500632507578,0.47545799748616957,0.4202287778446719,0.4077812666650631,0.460688727124924,52.66887187957764,0.5,10.0,0.85
