Function,Clients,Local Epochs,AUC Macro,AUC Micro,F1 Macro,F1 Micro,PR-AUC Macro,PR-AUC Micro,Time
FedAvg,2,1,0.8212298964171312,0.8503544285105503,0.506188238173356,0.46616694366244954,0.44303762633126753,0.49702502991882325,41.9601263999939
FedAvg,2,2,0.8457933342043691,0.8754318209286414,0.5302429322793301,0.5252169833450622,0.48987414294608267,0.5565219159134176,70.87535834312439
FedAvg,2,3,0.8569026995203264,0.8805322914027968,0.5466135446840357,0.5436038514442916,0.5073480885749531,0.5554642746973024,105.9087643623352
FedAvg,3,1,0.7911984611287631,0.8138902633384946,0.4418960894644826,0.42308305435995536,0.3854258362840324,0.42297583067954214,37.07615089416504
FedAvg,3,2,0.8317371216504429,0.8613729124801061,0.5086682513987503,0.4916971873555452,0.4575565766199539,0.5143375104214402,72.4357500076294
FedAvg,3,3,0.8416914606347037,0.8701243782294914,0.5305800941544263,0.5129996398991717,0.4807165389686772,0.5338441157043226,109.1840341091156
FedAvg,4,1,0.7770915625699985,0.8017658043043607,0.43151662185341033,0.40360478258283267,0.36558921865194965,0.41056697276744347,37.850396394729614
FedAvg,4,2,0.8134490465577088,0.844167851204871,0.480878168456146,0.45064541943564945,0.42459872416971495,0.49500710821905014,74.7733690738678
FedAvg,4,3,0.8422797163481468,0.86789184627176,0.5266117073329417,0.49605011310248814,0.48262571208685606,0.5326467200380395,109.73265314102173
FedProx,2,1,0.7922682576583223,0.82047697865405,0.46688221647141953,0.4269041395659839,0.3995603130467641,0.45431786317907685,41.1744441986084
FedProx,2,2,0.8146472641910688,0.8437004448819567,0.5024926716136947,0.4512128514056225,0.4409791977337673,0.48954062968650003,80.85171127319336
FedProx,2,3,0.8122749734677726,0.8422976800377663,0.49028009053448895,0.45921145507714023,0.43632858320933443,0.4790331195268712,119.38851594924927
FedProx,3,1,0.76726933066504,0.7878527601826402,0.4193831401416458,0.3850585910318145,0.3570687426078925,0.3828199027464841,43.165942907333374
FedProx,3,2,0.7997348932529914,0.8206793351220971,0.46154424224185253,0.43554185927067285,0.40310802888942204,0.4384293349204901,80.36480808258057
FedProx,3,3,0.8079407197575477,0.8379953862556938,0.49033236109323414,0.43717124488603154,0.4273372125576714,0.4687323608643327,119.33272647857666
FedProx,4,1,0.7501277957174317,0.7648567343104257,0.38890161567505405,0.3784251353312127,0.3231737841096994,0.342371934253833,42.56204175949097
FedProx,4,2,0.7796510335588666,0.8024192850566624,0.4528192723937229,0.402465404332237,0.38044412562103874,0.4223104205839381,80.9876880645752
FedProx,4,3,0.7878707230228043,0.8154590974390323,0.459953841874453,0.42535488583314807,0.3966639384109066,0.4426662219655026,119.7787127494812
SCAFFOLD,2,1,0.8158964910641445,0.841468725769828,0.4891461675325881,0.45795730793566214,0.42848185891977936,0.48096366716050076,39.79703640937805
SCAFFOLD,2,2,0.8545984886058738,0.8796270791514789,0.5422602437664087,0.5237141921158956,0.500357862679436,0.5568092625276543,76.66010308265686
SCAFFOLD,2,3,0.8604663373133188,0.884316423752323,0.5490869349614916,0.5463242501470299,0.5115872018479282,0.5648680943561605,113.31654953956604
SCAFFOLD,3,1,0.7858155696480954,0.8105850365016861,0.45011623603747086,0.40877219155601974,0.383165636785098,0.43274208660048724,39.78487849235535
SCAFFOLD,3,2,0.827763019745844,0.8542927157095082,0.5113062789981606,0.47787550282948116,0.4560097880579702,0.5157391912008018,75.52204871177673
SCAFFOLD,3,3,0.8342532649106785,0.8644693378752315,0.5246186697479897,0.4853320326109679,0.4703017440379061,0.5302402202489169,111.50718259811401
SCAFFOLD,4,1,0.7813364645753431,0.803010496433567,0.4348212246421164,0.40209538612094525,0.37078885746791806,0.41659530853148813,38.845728158950806
SCAFFOLD,4,2,0.8125082290562853,0.837182992303542,0.4804219386645901,0.46423057128152345,0.427137578421639,0.48136764260191445,74.73417234420776
SCAFFOLD,4,3,0.8348020434119315,0.8657862225034734,0.5167463144247109,0.49948672825927554,0.4685194899683012,0.5323830084534192,110.352290391922
